iter	Passed	Remaining
0	1	139
1	2	125
2	3	120
3	4	113
4	5	109
5	6	106
6	7	103
7	8	101
8	9	100
9	11	99
10	12	98
11	13	96
12	14	95
13	15	94
14	16	92
15	17	91
16	18	90
17	19	89
18	20	87
19	21	86
20	22	85
21	23	84
22	24	83
23	25	82
24	27	81
25	28	80
26	29	79
27	31	80
28	32	79
29	33	78
30	34	77
31	35	76
32	37	75
33	38	73
34	39	72
35	40	71
36	41	70
37	42	69
38	43	67
39	44	66
40	45	65
41	46	63
42	47	62
43	48	61
44	49	60
45	50	59
46	51	58
47	52	57
48	54	56
49	55	55
50	56	54
51	57	52
52	58	51
53	59	51
54	60	49
55	61	48
56	63	47
57	64	46
58	65	45
59	66	44
60	67	43
61	69	42
62	70	41
63	71	40
64	72	38
65	73	37
66	74	36
67	75	35
68	76	34
69	77	33
70	78	32
71	79	31
72	81	29
73	82	28
74	83	27
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	89	21
81	91	20
82	92	18
83	93	17
84	95	16
85	96	15
86	97	14
87	99	13
88	100	12
89	101	11
90	102	10
91	103	8
92	104	7
93	105	6
94	106	5
95	107	4
96	108	3
97	110	2
98	111	1
99	112	0
