iter	Passed	Remaining
0	143	143037
1	145	72838
2	147	49096
3	149	37275
4	152	30276
5	154	25540
6	156	22160
7	158	19648
8	160	17710
9	163	16141
10	165	14865
11	167	13785
12	169	12858
13	171	12091
14	173	11399
15	175	10786
16	177	10249
17	179	9810
18	181	9388
19	183	9015
20	186	8697
21	188	8393
22	190	8107
23	193	7867
24	195	7636
25	197	7412
26	201	7251
27	203	7071
28	206	6902
29	208	6747
30	210	6585
31	212	6431
32	215	6301
33	217	6173
34	220	6079
35	223	5984
36	226	5882
37	228	5796
38	231	5703
39	233	5598
40	235	5509
41	236	5394
42	237	5285
43	239	5199
44	242	5136
45	244	5067
46	246	4993
47	248	4925
48	250	4853
49	251	4780
50	253	4720
51	257	4693
52	259	4637
53	262	4594
54	264	4546
55	266	4495
56	268	4439
57	270	4398
58	272	4344
59	273	4286
60	275	4241
61	277	4201
62	279	4160
63	281	4119
64	283	4080
65	287	4062
66	289	4029
67	291	3993
68	293	3965
69	295	3931
70	297	3897
71	300	3870
72	302	3841
73	304	3805
74	305	3772
75	308	3746
76	310	3718
77	312	3690
78	314	3665
79	316	3640
80	318	3612
81	320	3587
82	321	3555
83	324	3536
84	326	3511
85	328	3487
86	330	3465
87	332	3444
88	334	3420
89	335	3397
90	338	3377
91	339	3354
92	341	3332
93	343	3310
94	345	3291
95	347	3271
96	349	3249
97	350	3228
98	352	3210
99	354	3192
100	356	3175
101	359	3165
102	361	3152
103	364	3138
104	366	3120
105	368	3105
106	370	3091
107	372	3075
108	374	3059
109	376	3044
110	377	3024
111	379	3010
112	382	2999
113	383	2982
114	385	2966
115	386	2948
116	388	2929
117	389	2913
118	391	2894
119	392	2877
120	393	2859
121	394	2840
122	396	2828
123	398	2812
124	399	2795
125	400	2779
126	401	2761
127	403	2746
128	404	2732
129	405	2716
130	407	2701
131	408	2685
132	409	2671
133	411	2658
134	412	2643
135	413	2629
136	415	2615
137	416	2601
138	417	2588
139	419	2577
140	420	2564
141	421	2548
142	423	2535
143	424	2523
144	426	2516
145	428	2506
146	429	2495
147	431	2482
148	432	2469
149	433	2458
150	435	2447
151	436	2436
152	437	2424
153	439	2412
154	440	2401
155	442	2392
156	443	2381
157	444	2370
158	446	2359
159	447	2348
160	448	2336
161	449	2327
162	451	2317
163	452	2306
164	453	2297
165	455	2287
166	456	2278
167	458	2268
168	459	2259
169	460	2248
170	461	2238
171	463	2230
172	464	2222
173	466	2212
174	467	2202
175	468	2192
176	469	2183
177	471	2175
178	472	2168
179	474	2160
180	475	2151
181	476	2142
182	478	2134
183	479	2127
184	480	2118
185	482	2110
186	483	2101
187	484	2093
188	486	2085
189	487	2078
190	488	2071
191	490	2063
192	491	2054
193	492	2047
194	494	2040
195	495	2033
196	497	2025
197	498	2018
198	499	2011
199	501	2004
200	502	1998
201	504	1991
202	505	1986
203	507	1980
204	509	1975
205	511	1970
206	513	1965
207	515	1961
208	517	1959
209	519	1954
210	521	1949
211	523	1944
212	524	1939
213	526	1934
214	528	1929
215	529	1923
216	531	1918
217	533	1913
218	534	1906
219	536	1901
220	538	1898
221	540	1895
222	542	1890
223	544	1885
224	546	1882
225	548	1878
226	550	1873
227	551	1868
228	553	1863
229	555	1858
230	556	1853
231	558	1848
232	559	1842
233	561	1836
234	562	1832
235	564	1826
236	565	1820
237	566	1815
238	568	1809
239	569	1804
240	571	1798
241	572	1792
242	573	1787
243	574	1781
244	576	1776
245	577	1771
246	579	1765
247	580	1759
248	581	1754
249	583	1749
250	584	1745
251	586	1739
252	587	1733
253	588	1728
254	589	1722
255	590	1716
256	592	1711
257	593	1706
258	594	1700
259	595	1694
260	596	1689
261	597	1683
262	599	1678
263	600	1673
264	601	1667
265	602	1662
266	603	1656
267	604	1651
268	605	1645
269	607	1641
270	608	1636
271	609	1631
272	610	1626
273	611	1621
274	612	1615
275	614	1611
276	615	1607
277	616	1602
278	618	1597
279	619	1592
280	620	1587
281	621	1583
282	622	1578
283	624	1573
284	625	1569
285	626	1564
286	627	1559
287	628	1554
288	630	1550
289	631	1545
290	632	1541
291	633	1536
292	634	1531
293	635	1527
294	637	1522
295	638	1518
296	639	1514
297	640	1509
298	642	1505
299	643	1501
300	644	1497
301	646	1493
302	647	1489
303	648	1485
304	649	1480
305	651	1476
306	652	1473
307	654	1469
308	655	1465
309	657	1462
310	658	1459
311	660	1455
312	661	1451
313	662	1447
314	663	1443
315	664	1439
316	666	1435
317	667	1432
318	669	1428
319	670	1425
320	671	1421
321	673	1417
322	674	1413
323	675	1410
324	677	1406
325	678	1402
326	679	1398
327	680	1394
328	682	1392
329	683	1387
330	684	1383
331	685	1380
332	687	1376
333	688	1372
334	689	1369
335	691	1365
336	692	1362
337	693	1358
338	694	1354
339	696	1351
340	697	1347
341	698	1344
342	699	1340
343	700	1336
344	702	1333
345	703	1329
346	704	1326
347	706	1322
348	707	1319
349	708	1315
350	709	1311
351	710	1307
352	711	1304
353	713	1301
354	714	1297
355	715	1294
356	716	1290
357	717	1286
358	718	1283
359	720	1280
360	721	1276
361	722	1273
362	723	1270
363	725	1267
364	726	1264
365	728	1261
366	729	1258
367	730	1254
368	732	1251
369	733	1248
370	734	1245
371	735	1242
372	736	1238
373	738	1235
374	739	1232
375	740	1229
376	741	1226
377	743	1223
378	744	1220
379	745	1217
380	747	1214
381	748	1210
382	750	1208
383	751	1206
384	753	1203
385	754	1200
386	756	1197
387	758	1195
388	759	1193
389	761	1190
390	762	1188
391	764	1185
392	766	1183
393	767	1180
394	769	1178
395	770	1175
396	771	1172
397	773	1169
398	774	1167
399	776	1164
400	777	1161
401	778	1158
402	780	1155
403	781	1153
404	782	1150
405	784	1147
406	785	1144
407	786	1141
408	787	1138
409	789	1135
410	790	1132
411	791	1129
412	792	1126
413	793	1123
414	794	1120
415	796	1117
416	797	1114
417	798	1111
418	799	1108
419	800	1105
420	801	1102
421	803	1100
422	804	1097
423	805	1093
424	806	1090
425	807	1087
426	808	1084
427	809	1081
428	810	1079
429	812	1076
430	812	1073
431	813	1070
432	814	1067
433	815	1064
434	816	1061
435	818	1058
436	819	1055
437	820	1052
438	821	1049
439	821	1046
440	822	1043
441	823	1040
442	825	1037
443	826	1034
444	827	1031
445	828	1028
446	829	1025
447	830	1023
448	831	1020
449	832	1017
450	833	1014
451	834	1012
452	835	1009
453	836	1006
454	837	1003
455	838	1000
456	840	998
457	841	996
458	842	993
459	843	990
460	844	987
461	845	985
462	847	982
463	848	980
464	849	977
465	851	975
466	852	972
467	853	970
468	854	967
469	856	965
470	857	962
471	858	960
472	859	958
473	860	955
474	862	953
475	863	950
476	864	948
477	865	945
478	867	943
479	868	940
480	869	938
481	871	936
482	872	933
483	873	931
484	874	929
485	876	926
486	877	924
487	879	922
488	880	920
489	881	917
490	883	915
491	884	913
492	886	912
493	888	909
494	889	907
495	890	904
496	891	902
497	893	900
498	894	898
499	895	895
500	897	893
501	898	891
502	899	889
503	901	887
504	902	884
505	904	882
506	905	880
507	907	878
508	908	876
509	910	874
510	912	872
511	913	870
512	914	868
513	916	866
514	917	864
515	918	861
516	920	859
517	921	857
518	922	855
519	924	852
520	925	851
521	927	849
522	928	846
523	929	844
524	931	842
525	933	840
526	934	838
527	935	836
528	936	834
529	938	832
530	940	830
531	941	828
532	942	826
533	943	823
534	945	821
535	947	819
536	948	817
537	950	815
538	951	813
539	952	811
540	954	809
541	956	807
542	957	805
543	959	803
544	960	801
545	962	799
546	963	798
547	965	795
548	966	793
549	967	791
550	970	790
551	972	788
552	973	787
553	975	784
554	977	783
555	979	782
556	981	780
557	982	778
558	984	776
559	986	774
560	987	773
561	989	771
562	990	769
563	994	768
564	996	767
565	997	765
566	999	763
567	1000	761
568	1002	759
569	1003	757
570	1005	755
571	1006	753
572	1008	751
573	1009	749
574	1011	747
575	1012	745
576	1014	743
577	1016	741
578	1017	739
579	1019	738
580	1020	736
581	1022	734
582	1024	732
583	1025	730
584	1027	728
585	1028	726
586	1030	724
587	1031	723
588	1033	721
589	1034	719
590	1036	717
591	1038	715
592	1039	713
593	1041	711
594	1043	709
595	1044	708
596	1046	706
597	1047	704
598	1049	702
599	1050	700
600	1052	698
601	1053	696
602	1055	694
603	1056	692
604	1058	691
605	1060	689
606	1062	687
607	1063	685
608	1065	683
609	1066	682
610	1068	680
611	1070	678
612	1071	676
613	1073	674
614	1074	672
615	1076	670
616	1077	668
617	1078	666
618	1080	664
619	1081	662
620	1083	661
621	1085	659
622	1086	657
623	1088	655
624	1089	653
625	1091	651
626	1092	650
627	1094	648
628	1095	646
629	1096	644
630	1098	642
631	1100	640
632	1101	638
633	1103	636
634	1104	634
635	1105	632
636	1106	630
637	1108	628
638	1109	626
639	1110	624
640	1113	623
641	1115	622
642	1117	620
643	1118	618
644	1121	616
645	1122	615
646	1123	613
647	1125	611
648	1127	609
649	1128	607
650	1130	606
651	1131	604
652	1133	602
653	1134	600
654	1136	598
655	1138	596
656	1139	594
657	1141	593
658	1142	591
659	1144	589
660	1146	587
661	1147	585
662	1149	584
663	1150	582
664	1152	580
665	1153	578
666	1155	576
667	1157	575
668	1158	573
669	1160	571
670	1161	569
671	1163	567
672	1164	565
673	1166	564
674	1167	562
675	1169	560
676	1170	558
677	1172	556
678	1173	554
679	1175	552
680	1176	551
681	1178	549
682	1179	547
683	1181	545
684	1183	544
685	1184	542
686	1186	540
687	1187	538
688	1189	536
689	1191	535
690	1192	533
691	1194	531
692	1195	529
693	1197	527
694	1198	526
695	1200	524
696	1201	522
697	1203	520
698	1205	518
699	1206	517
700	1207	515
701	1209	513
702	1211	511
703	1212	509
704	1214	508
705	1215	506
706	1216	504
707	1218	502
708	1220	500
709	1221	498
710	1222	497
711	1224	495
712	1225	493
713	1227	491
714	1228	489
715	1230	488
716	1232	486
717	1234	484
718	1235	483
719	1237	481
720	1238	479
721	1240	477
722	1243	476
723	1244	474
724	1246	472
725	1247	470
726	1249	469
727	1250	467
728	1252	465
729	1253	463
730	1255	461
731	1256	460
732	1258	458
733	1259	456
734	1260	454
735	1262	452
736	1264	451
737	1265	449
738	1266	447
739	1268	445
740	1269	443
741	1271	442
742	1272	440
743	1274	438
744	1275	436
745	1276	434
746	1278	432
747	1279	431
748	1281	429
749	1282	427
750	1283	425
751	1285	423
752	1286	422
753	1288	420
754	1289	418
755	1290	416
756	1292	414
757	1293	413
758	1295	411
759	1296	409
760	1298	407
761	1299	405
762	1301	404
763	1303	402
764	1304	400
765	1305	398
766	1307	397
767	1308	395
768	1309	393
769	1311	391
770	1312	389
771	1314	388
772	1315	386
773	1317	384
774	1318	382
775	1319	381
776	1321	379
777	1322	377
778	1324	375
779	1325	373
780	1326	372
781	1328	370
782	1329	368
783	1330	366
784	1332	365
785	1334	363
786	1335	361
787	1336	359
788	1338	357
789	1339	356
790	1341	354
791	1343	352
792	1344	350
793	1346	349
794	1347	347
795	1349	345
796	1350	344
797	1351	342
798	1353	340
799	1355	338
800	1356	336
801	1357	335
802	1359	333
803	1360	331
804	1362	329
805	1363	328
806	1364	326
807	1365	324
808	1367	322
809	1368	321
810	1370	319
811	1371	317
812	1372	315
813	1374	313
814	1375	312
815	1377	310
816	1378	308
817	1379	307
818	1381	305
819	1382	303
820	1384	301
821	1386	300
822	1387	298
823	1389	296
824	1390	294
825	1392	293
826	1393	291
827	1395	289
828	1396	288
829	1397	286
830	1400	284
831	1401	283
832	1402	281
833	1404	279
834	1405	277
835	1407	276
836	1408	274
837	1409	272
838	1411	270
839	1412	269
840	1414	267
841	1416	265
842	1417	263
843	1419	262
844	1420	260
845	1423	259
846	1424	257
847	1426	255
848	1427	253
849	1429	252
850	1430	250
851	1432	248
852	1433	247
853	1434	245
854	1436	243
855	1437	241
856	1439	240
857	1440	238
858	1441	236
859	1442	234
860	1444	233
861	1445	231
862	1446	229
863	1447	227
864	1448	226
865	1450	224
866	1451	222
867	1452	220
868	1453	219
869	1454	217
870	1456	215
871	1457	213
872	1458	212
873	1460	210
874	1461	208
875	1462	207
876	1463	205
877	1464	203
878	1466	201
879	1467	200
880	1468	198
881	1469	196
882	1471	194
883	1472	193
884	1473	191
885	1475	189
886	1476	188
887	1477	186
888	1478	184
889	1479	182
890	1480	181
891	1482	179
892	1483	177
893	1484	176
894	1486	174
895	1487	172
896	1489	171
897	1490	169
898	1491	167
899	1493	165
900	1494	164
901	1496	162
902	1497	160
903	1498	159
904	1499	157
905	1501	155
